High Accuracy,High RT,,Low Accuracy,Low RT,,Neutral Accuracy,Neutral RT
1,0.5002626,,0,0.3315376,,1,0.3399999
1,0.5449591,,1,0.4085372,,1,0.4041987
1,0.2936304,,1,0.4079837,,1,0.5634319
0,0.370284,,1,0.2375056,,1,0.3621995
1,0.2942005,,1,0.3519107,,1,0.3142125
1,0.3501466,,1,0.3515476,,1,0.3599875
1,0.3212314,,1,0.3587809,,1,0.2957671
0,0.3620914,,1,0.3568743,,1,0.2117567
1,0.3020034,,1,0.331214,,1,0.2601406
1,0.370931,,1,0.3009496,,1,0.3369369
1,0.4102901,,1,0.342688,,1,0.2614469
1,0.4338564,,1,0.4431597,,1,0.2914547
1,0.4224073,,1,0.3603395,,1,0.3360031
1,0.2715664,,1,0.2911978,,1,0.2628287
1,0.3319071,,1,0.2801139,,1,0.41672
1,0.3172341,,1,0.2755101,,1,0.3922577
1,0.3751989,,1,0.3735058,,1,0.3250903
1,0.2638486,,1,0.322984,,1,0.2788833
1,0.2749764,,1,0.343719,,1,0.3267312
1,0.3114604,,1,0.3578953,,1,0.3617425
1,0.2849678,,1,0.3369234,,1,0.4600915
1,0.2804147,,1,0.3624099,,1,0.4227947
1,0.3597967,,1,0.3178426,,1,0.2980072
1,0.3547534,,1,0.3102078,,1,0.3514389
1,0.2763327,,1,0.5204859,,1,0.3616602
1,0.2801382,,1,0.3467862,,1,0.3463729
1,0.3663054,,1,0.3743225,,1,0.29772
1,0.3045298,,1,0.322324,,1,0.2777583
1,0.3725122,,1,0.3458819,,1,0.3213773
1,0.3892312,,1,0.3635943,,1,0.4017762
1,0.3194239,,1,0.3499217,,1,0.285777
1,0.4630931,,1,0.3389551,,1,0.3712764
1,0.3637524,,0,0.3082219,,1,0.4133553
0,0.3659258,,1,0.418728,,1,0.3079182
1,0.4068302,,1,0.3830588,,1,0.3579005
1,0.369631,,1,0.3492695,,1,0.4344441
1,0.3664816,,1,0.3402174,,1,0.4766788
1,0.3992236,,1,0.2993491,,1,0.2857331
1,0.5374649,,1,0.5046361,,1,0.4228962
1,0.3425406,,1,0.4898064,,1,0.2924731
1,0.3808817,,1,0.3089637,,1,0.3512579
1,0.3426439,,1,0.3009537,,0,0.3249234
1,0.3563635,,1,0.3520806,,0,0.4248796
1,0.4753217,,1,0.2951618,,1,0.4069344
1,0.3344416,,1,0.3650965,,1,0.4380234
1,0.3771696,,1,0.3294488,,1,0.6608941
1,0.3458511,,1,0.366267,,1,0.3132236
1,0.3552561,,1,0.4099646,,1,0.2307623
1,0.3555288,,1,0.4481019,,1,0.3328207
1,0.3703594,,1,0.375741,,1,0.4440896
1,0.3327743,,1,0.293673,,1,0.2597116
1,0.3088531,,1,0.3984094,,1,0.3017408
1,0.6383231,,1,0.3752323,,1,0.3877554
1,0.2738908,,1,0.364579,,1,0.2976618
1,0.0579593,,1,0.3800924,,1,0.4003259
1,0.4014243,,1,0.4345696,,1,0.4344423
1,0.3886398,,1,0.4154314,,1,0.612588
1,0.4000427,,1,0.3148672,,1,0.4647676
1,0.5567143,,0,0.2792805,,1,0.6003093
1,0.4663721,,1,0.3816604,,1,0.5095853
1,0.2971213,,1,0.2843021,,1,0.316911
1,0.491189,,1,0.3077407,,1,0.3054455
1,0.3521341,,1,0.3199814,,1,0.4715847
1,0.3681781,,1,0.3702757,,1,0.5573951
1,0.4016551,,1,0.6546749,,1,0.4230394
1,0.4226137,,1,0.3376687,,1,0.3002648
1,0.4422148,,1,0.2812236,,1,0.3518353
1,0.3834172,,1,0.3632311,,1,0.5070653
1,0.345396,,0,0.4993889,,0,0.6171304
1,0.3091075,,1,0.4826596,,1,0.4045181
1,0.5544132,,1,0.2790935,,1,0.3698472
1,0.2869846,,0,0.3535662,,0,0.4879892
1,0.3178999,,1,0.3474378,,1,0.4746077
1,0.3669753,,1,0.3399117,,1,0.477194
1,0.3107331,,1,0.5934056,,1,0.3928308
1,0.335718,,1,0.5096021,,1,0.4371558
1,0.5931381,,1,0.4342591,,0,0.4257877
1,0.4693637,,1,0.3962273,,0,0.278541
1,0.3244222,,0,0.3702239,,0,0.3356254
1,0.394282,,1,0.4333853,,1,0.3592998
1,0.3436946,,1,0.386022,,1,0.354754
1,0.7803448,,1,0.5287262,,0,0.3546364
1,0.2812489,,0,0.4291254,,1,0.6297649
1,0.4853013,,1,0.5960241,,1,0.6183535
1,0.3656526,,1,0.4827606,,1,0.8528027
0,0.439272,,1,0.4590078,,0,0.3344171
1,0.3517603,,1,0.3942061,,1,0.4427845
1,0.6023313,,1,0.278755,,0,0.4058557
1,0.3231462,,1,0.3570959,,1,0.3513308
1,0.4578352,,1,0.3410581,,1,0.4093748
1,0.3245512,,1,0.2671367,,1,0.2950345
0,0.3746327,,0,0.3387287,,1,0.4566816
0,0.0797227,,1,0.321475,,1,0.4169427
1,0.3151275,,1,0.4393745,,1,0.2653737
0,0.2658857,,1,0.2724777,,0,0.4499322
1,0.4014747,,1,0.4802791,,0,0.2850897
1,0.2996105,,0,0.456003,,1,0.28307
1,0.3453143,,1,0.3543525,,1,0.4042753
1,0.3125287,,1,0.4861622,,1,0.4494332
1,0.3831,,0,0.3668121,,1,0.4396346
1,0.3554474,,1,0.4043909,,1,0.3741125
0,0.2880258,,1,0.4258543,,1,0.4162274
1,0.8813081,,1,0.5363224,,1,0.3869635
1,0.3789429,,1,0.3248449,,1,0.3434356
1,0.2960524,,1,0.4495215,,1,0.414798
0,0.24719,,0,0.4273096,,1,0.5086022
1,0.5668791,,1,0.4484633,,1,0.3851832
1,0.3155367,,1,0.3997736,,1,0.4423617
1,0.3676872,,1,0.4478362,,1,0.3729156
1,0.2412889,,1,0.7252695,,1,0.347866
0,0.3017012,,1,0.3894286,,0,0.4829453
0,0.4249576,,1,0.317504,,1,0.4894442
1,0.3835359,,1,0.4438754,,1,0.2825671
1,0.5841238,,1,0.2895086,,1,0.4131226
1,0.4176591,,0,0.4793561,,1,0.3924424
0,0.4484541,,1,0.3831558,,1,0.3855516
1,0.4830633,,0,0.451064,,1,0.4634806
0,0.6973897,,1,0.5599789,,1,0.4325672
0,0.2792307,,1,0.5392031,,1,0.4000931
1,0.4485311,,1,0.5265484,,1,0.3449238
1,0.3794736,,1,0.4267041,,1,0.4376295
1,0.2886552,,1,0.525759,,1,0.4335239
1,0.5254743,,1,0.4258521,,1,0.3989975
0,0.4112493,,1,0.4599049,,1,0.288234
1,0.3241394,,1,0.468482,,1,0.9135318
1,0.5461336,,1,0.3500538,,1,0.5559409
0,0.468892,,1,0.4201402,,1,0.300078
0,0.5434475,,1,0.4498024,,1,0.46981
1,0.5099272,,1,0.3952172,,1,0.4099573
1,0.4245813,,1,0.711472,,1,0.7319
1,0.6242247,,1,0.3445646,,1,0.466682
1,0.3955065,,1,0.4447038,,1,0.4766332
1,0.4226161,,1,0.4281413,,1,0.3657783
1,0.3351919,,1,0.4804338,,1,0.4440692
1,0.3270286,,1,0.4959885,,1,0.3938546
1,0.3101577,,1,0.7008628,,1,0.4779717
1,0.2931217,,1,0.8533756,,1,0.430904
0,0.4127571,,1,0.4980244,,1,0.4051785
0,0.3874636,,1,0.4418365,,1,0.3643684
1,0.5056065,,1,0.5319469,,1,0.4956478
1,0.3310641,,1,0.4307293,,1,0.3878967
1,0.4333445,,1,0.4774078,,1,0.5820811
0,0.5235859,,1,0.3672025,,1,0.4279535
0,0.4808947,,1,0.4749759,,1,0.4846249
0,0.4129472,,1,0.4434587,,1,0.5581392
1,0.5395068,,1,0.5594927,,1,0.8708524
1,0.3430457,,1,0.6664198,,1,0.3897683
1,0.9379551,,1,0.419738,,1,0.4839975
1,0.4611305,,1,0.3504562,,1,0.4026146
1,0.4462258,,1,0.3766003,,1,0.4469518
1,0.3944196,,1,0.4617208,,1,0.3594932
1,0.4761186,,1,0.4585287,,1,0.4213956
1,0.5584546,,1,0.4443468,,1,0.4333057
1,0.612983,,1,0.3820614,,1,0.7871087
1,0.3901665,,1,0.3943941,,1,0.4792917
1,0.3425389,,1,0.3332525,,1,0.6685341
1,0.3351212,,1,0.2870866,,1,0.4509401
1,0.4261758,,1,0.3474939,,1,0.5129187
1,0.6117197,,1,0.3760665,,1,0.5771952
1,0.4285363,,1,0.3677767,,1,0.5823138
1,0.4470186,,1,0.4151557,,1,0.4925189
0,0.5024963,,1,0.3532109,,1,0.4206014
1,0.4899625,,1,0.4018076,,1,0.4596539
1,0.5120243,,1,0.3525736,,1,0.2950147
1,0.4361023,,1,0.5038662,,1,0.3732354
1,0.6189724,,1,0.5343936,,0,0.3725148
1,0.4686892,,1,0.2921314,,1,0.3883352
1,0.4314544,,1,0.3675877,,0,0.5351019
1,0.5400867,,1,0.4342776,,1,0.3116396
0,0.3356101,,1,0.4115494,,0,0.2376166
0,0.3291887,,1,0.503979,,1,0.3298988
1,0.4977646,,1,0.3676774,,1,0.5324908
1,0.5028746,,1,0.4118887,,1,0.462653
1,0.3971222,,1,0.420037,,1,0.2767449
0,0.4609264,,1,0.5038825,,1,0.3898605
0,0.5871608,,1,0.4296893,,1,0.3584349
1,0.410056,,0,0.4147419,,1,0.4280778
1,0.4662407,,1,0.5173503,,1,0.5907334
1,0.4316476,,1,0.3559271,,1,0.5228592
1,0.4586736,,1,0.3964968,,1,0.4881931
1,0.3784661,,1,0.4420241,,1,0.4161447
1,0.652758,,1,0.3971207,,1,0.5269281
1,0.45722,,1,0.6600391,,1,0.4279377
1,0.6348529,,1,0.4378721,,1,0.3874425
1,0.5894112,,1,0.3688869,,1,0.6190841
1,0.6029513,,1,0.3076098,,1,0.3836739
1,0.3576559,,1,0.4905994,,1,0.3454705
1,0.3118824,,1,0.4442338,,1,0.3443821
1,0.4691792,,1,0.3500298,,1,0.3993444
1,0.30365,,1,0.2275907,,1,0.4274536
1,0.3861382,,1,0.3721446,,1,0.5727116
1,0.5711401,,1,0.4033185,,1,0.4288223
1,0.4615889,,1,0.3218488,,1,0.3710005
1,0.4019892,,0,0.3666785,,1,0.3830735
1,0.5391763,,1,0.2955194,,1,0.4108167
1,0.3285141,,1,0.3534911,,1,0.2901644
1,0.4694701,,1,0.3393652,,1,0.4658307
1,0.5090529,,1,0.3380285,,1,0.2866609
1,0.4136124,,1,0.2911815,,0,0.3167327
1,0.3263034,,1,0.3672076,,1,0.2818192
1,0.3403827,,1,0.2980054,,1,0.285346
1,0.3869816,,1,0.3962295,,1,0.5330522
1,0.4203158,,1,0.3396295,,1,0.6224579
1,0.6476941,,1,0.3550434,,1,0.3220201
1,0.4159356,,1,0.3226869,,0,0.4718201
1,0.4102799,,1,0.1844124,,1,0.3572539
1,0.4003477,,1,0.2080207,,1,0.2949305
0,0.4308883,,1,0.321277,,1,0.4762381
1,0.3472251,,1,0.4337457,,1,0.5203998
1,0.4079931,,1,0.434452,,1,0.479771
1,0.4514575,,1,0.4139194,,1,0.3454627
1,0.4019177,,1,0.3143696,,0,0.2515233
1,0.3936223,,1,0.3702867,,1,0.1278367
1,0.3252093,,1,0.2115722,,1,0.2162141
1,0.4465767,,1,0.47115,,1,0.2790351
1,0.3749154,,0,0.2234153,,1,0.4142646
1,0.6283914,,1,0.2600966,,1,0.4399994
0,0.5393966,,1,0.4892864,,1,0.45405
1,0.4235241,,1,0.5542348,,1,0.4158807
1,0.7059193,,1,0.5305429,,1,0.4439513
1,0.3529304,,1,0.2489488,,0,0.4115816
1,0.4471253,,1,0.2347242,,1,0.2909842
1,0.2708794,,1,0.2223169,,1,0.5146821
1,0.3814226,,1,0.2867448,,1,0.2958934
1,0.3735774,,0,0.0671205,,0,0.3468593
1,0.2426574,,1,0.1853768,,1,0.4714655
1,0.406579,,1,0.7189315,,1,0.509418
1,0.2224385,,1,0.4703005,,1,0.3234671
1,0.1985256,,1,0.2682608,,1,0.19378
0,0.2231626,,1,0.2727224,,0,0.1890538
1,0.3505768,,1,0.4182229,,0,0.314707
1,0.3127644,,1,0.2112391,,0,0.3108547
1,0.2660795,,1,0.213293,,1,0.3404926
1,0.2208398,,1,0.3567129,,1,0.4899674
1,0.3635483,,1,0.2174684,,1,0.2942896
1,0.3032243,,1,0.2251582,,1,0.386637
1,0.3032378,,1,0.4680233,,1,0.3065648
1,0.2522858,,1,0.3207026,,1,0.4338641
1,0.3243147,,0,0.2110968,,1,0.2933712
1,0.3581651,,1,0.218245,,1,0.4459366
1,0.3054873,,1,0.3312826,,1,0.461574
0,0.2411261,,1,0.459719,,1,0.5210404
1,0.3599775,,1,0.3573376,,1,0.4900827
1,0.2683988,,1,0.2113086,,0,0.423118
0,0.2334025,,1,0.4097543,,1,0.3492019
1,0.2411838,,1,0.3793116,,1,0.4543809
1,0.3241044,,1,0.3644019,,0,0.4014828
1,0.3096713,,1,0.1954536,,1,0.4221271
1,0.2760078,,0,0.2112367,,1,0.5504894
1,0.9621202,,1,0.5097506,,1,0.4776549
1,0.2810659,,1,0.2491085,,0,0.3399319
1,0.2507991,,1,0.2404154,,1,0.2000361
1,0.2571529,,1,0.4557569,,1,0.1999111
1,0.3104232,,1,0.4015891,,1,0.2436205
1,0.4087714,,1,0.5711522,,0,0.1957892
1,0.2839069,,1,0.5101322,,1,0.4674628
1,0.4546791,,1,0.3985698,,1,0.2582827
0,0.242888,,1,0.2758819,,1,0.2453903
0,0.5127505,,0,0.3781504,,1,0.8211229
1,0.6527949,,0,0.3086626,,1,0.3112572
1,0.1975621,,0,0.306886,,1,0.5933614
0,0.243781,,1,0.3090703,,0,0.3770225
1,0.4062804,,1,0.3878875,,1,0.3612661
1,0.2501195,,1,0.3006729,,0,0.5215689
0,0.2999383,,1,0.3042759,,1,0.37187
1,0.3637062,,1,0.5096387,,1,0.4302293
1,0.4460795,,1,0.309782,,1,0.5546992
1,0.4746287,,1,0.4172289,,1,0.3469461
1,0.4652911,,1,0.5356944,,1,0.4545077
1,0.6725018,,1,0.6446625,,1,0.4539665
0,0.3773281,,1,0.5195628,,1,0.4508161
1,0.4636836,,1,0.3388283,,1,0.2837846
1,0.2350255,,1,0.5402402,,1,0.3283534
1,0.2577127,,1,0.4165664,,1,0.2210995
1,0.5297073,,1,0.4900649,,1,0.4244788
1,0.3088383,,1,0.6394976,,1,0.4492687
0,0.3535662,,0,0.4961372,,1,0.3122617
1,0.7434928,,0,0.5937168,,1,0.484838
1,0.4883424,,1,0.321896,,1,0.4106554
0,0.5632427,,1,0.3998181,,1,0.4965971
1,0.5855845,,1,0.5174889,,0,0.4246313
1,0.4699385,,1,0.3590949,,0,0.381359
0,0.2792222,,1,0.3879574,,0,0.9525912
1,0.3167742,,0,0.3976512,,1,0.4937302
1,0.5972849,,0,0.3499072,,0,0.3790923
1,0.4176485,,1,0.5239145,,0,0.6203513
1,0.3838239,,0,0.5144107,,0,0.3789166
0,0.5330014,,1,0.3964769,,1,0.4940226
1,0.3707518,,1,0.5046869,,1,0.4327777
1,0.4258081,,1,0.4070859,,0,0.3139316
1,0.3613743,,1,0.555343,,1,0.3151352
