stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fix.started,grating.started,key_resp.started,fix.stopped,trial.stopped,stair.response,key_resp.rt,corrAns,tilt,key_resp.corr,participant,session,date,expName,psychopyVersion,frameRate,expStart
0,1,10,0.0139028,,0.0080237,0.0139028,0.5044378,0.5044378,0.5139743,1.4847168,1,0.9750748,left,-10,<psychopy.hardware.keyboard.Keyboard object at 0x0000024944D61400>,4,1,2024-09-06_11h50.09.037,adap_stair,2024.2.1,119.5368664,2024-09-06 11h50.13.769901 +0530
1,3,1,1.4963114,,1.4848292,1.4963114,1.9803094,1.9803094,1.988478,2.6575427,0,0.6746178,right,1,<psychopy.hardware.keyboard.Keyboard object at 0x0000024944D61400>,4,1,2024-09-06_11h50.09.037,adap_stair,2024.2.1,119.5368664,2024-09-06 11h50.13.769901 +0530
2,3,20,2.6633349,,2.6576462,2.6633349,3.1555207,3.1555207,3.1555207,3.8413371,1,0.6817174,left,-20,<psychopy.hardware.keyboard.Keyboard object at 0x0000024944D61400>,4,1,2024-09-06_11h50.09.037,adap_stair,2024.2.1,119.5368664,2024-09-06 11h50.13.769901 +0530
3,0.4,20,3.8471451,,3.8414368,3.8471451,4.3384359,4.3384359,4.3384359,4.908283,1,0.5683033,left,-20,<psychopy.hardware.keyboard.Keyboard object at 0x0000024944D61400>,4,1,2024-09-06_11h50.09.037,adap_stair,2024.2.1,119.5368664,2024-09-06 11h50.13.769901 +0530
4,0.4,7.962143411,4.9132624,,4.9083899,4.9132624,5.4054849,5.4054849,5.4054849,6.3076662,0,0.9009576,right,7.962143411,<psychopy.hardware.keyboard.Keyboard object at 0x0000024944D61400>,4,1,2024-09-06_11h50.09.037,adap_stair,2024.2.1,119.5368664,2024-09-06 11h50.13.769901 +0530
5,0.7,7.962143411,6.3134144,,6.3077659,6.3134144,6.8050422,6.8050422,6.8050422,7.3163358,0,0.5088678,left,-7.962143411,<psychopy.hardware.keyboard.Keyboard object at 0x0000024944D61400>,4,1,2024-09-06_11h50.09.037,adap_stair,2024.2.1,119.5368664,2024-09-06 11h50.13.769901 +0530
6,0.7,20,7.3218801,,7.3164445,7.3218801,7.8137613,7.8137613,7.8137613,8.5162574,0,0.7001139,right,20,<psychopy.hardware.keyboard.Keyboard object at 0x0000024944D61400>,4,1,2024-09-06_11h50.09.037,adap_stair,2024.2.1,119.5368664,2024-09-06 11h50.13.769901 +0530
7,0.7,20,8.5221449,,8.5163907,8.5221449,9.0135091,9.0135091,9.0135091,9.7993462,1,0.7789537,left,-20,<psychopy.hardware.keyboard.Keyboard object at 0x0000024944D61400>,4,1,2024-09-06_11h50.09.037,adap_stair,2024.2.1,119.5368664,2024-09-06 11h50.13.769901 +0530
8,0.7,20,9.8054919,,9.799467,9.8054919,10.2970589,10.2970589,10.2970589,10.9656649,1,0.6635277,left,-20,<psychopy.hardware.keyboard.Keyboard object at 0x0000024944D61400>,4,1,2024-09-06_11h50.09.037,adap_stair,2024.2.1,119.5368664,2024-09-06 11h50.13.769901 +0530
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,tilt,stair.response,,,,,,,,,,,,,,,,
,,,,,-10,1,,,,,,,,,,,,,,,,
,,,,,1,0,,1,,,,,,,,,,,,,,
,,,,,-20,1,,-20,,,,,,,,,,,,,,
,,,,,-20,1,,,,,,,,,,,,,,,,
,,,,,7.962143411,0,,7.962143411,,,,,,,,,,,,,,
,,,,,-7.962143411,0,,,,,,,,,,,,,,,,
,,,,,20,0,,,,,,,,,,,,,,,,
,,,,,-20,1,,-20,,,,,,,,,,,,,,
,,,,,-20,1,,,,,,,,,,,,,,,,
